Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-02-21,137.82,138.35,137.35,137.84,2937467.0,0.0,1.0,137.82,138.35,137.35,137.84,2937467.0
2019-02-04,134.02,135.2,132.99,135.19,3966267.0,0.0,1.0,132.45862125259723,133.62487384980707,131.44062110418523,133.61499035322055,3966267.0
2019-02-20,138.76,139.24,137.2203,138.0,3801979.0,0.0,1.0,138.76,139.24,137.2203,138.0,3801979.0
2019-02-19,137.81,138.7,137.36,138.7,3385675.0,0.0,1.0,137.81,138.7,137.36,138.7,3385675.0
2019-02-15,137.58,138.185,137.385,138.03,3843612.0,0.0,1.0,137.58,138.185,137.385,138.03,3843612.0
2019-02-14,137.17,137.6019,136.21,136.48,2789419.0,0.0,1.0,137.17,137.6019,136.21,136.48,2789419.0
2019-02-13,136.92,137.92,136.41,137.52,4252517.0,0.0,1.0,136.92,137.92,136.41,137.52,4252517.0
2019-02-12,135.15,136.2,134.86,136.05,3313651.0,0.0,1.0,135.15,136.2,134.86,136.05,3313651.0
2019-02-11,134.29,135.15,133.91,133.99,3095069.0,0.0,1.0,134.29,135.15,133.91,133.99,3095069.0
2019-02-08,132.34,133.71,132.19,133.71,3249874.0,0.0,1.0,132.34,133.71,132.19,133.71,3249874.0
2019-02-07,133.55,134.47,132.12,133.19,4378580.0,1.57,1.0,133.55,134.47,132.12,133.19,4378580.0
2019-02-06,135.22,136.65,135.17,136.32,4877094.0,0.0,1.0,133.64464084298012,135.0579808548531,133.5952233600475,134.73182546749777,4877094.0
2019-02-05,135.28,135.82,134.92,135.55,5397178.0,0.0,1.0,133.70394182249927,134.23765063817154,133.3481359453844,133.97079623033542,5397178.0
